,Link,Name,Price,Color
18,https://www.carpages.ca/new-cars/british-columbia/surrey/2024-hyundai-ioniq-11178502/,2024 Hyundai IONIQ,"$66,949",Serenity White
19,https://www.carpages.ca/new-cars/british-columbia/surrey/2024-hyundai-kona-11178496/,2024 Hyundai KONA,"$53,399",MIRAGE GREEN
20,https://www.carpages.ca/new-cars/british-columbia/surrey/2024-hyundai-kona-11178493/,2024 Hyundai KONA,"$53,399",MIRAGE GREEN
21,https://www.carpages.ca/new-cars/british-columbia/surrey/2024-hyundai-ioniq-5-11178490/,2024 Hyundai IONIQ 5,"$59,199",Abyss black
22,https://www.carpages.ca/new-cars/british-columbia/surrey/2024-hyundai-ioniq-5-11178484/,2024 Hyundai IONIQ 5,"$65,199",Cyber Grey
23,https://www.carpages.ca/new-cars/british-columbia/surrey/2024-hyundai-kona-11178478/,2024 Hyundai KONA,"$53,399",META BLUE
24,https://www.carpages.ca/new-cars/british-columbia/surrey/2024-hyundai-ioniq-5-11178472/,2024 Hyundai IONIQ 5,"$57,199",LUCID BLUE
25,https://www.carpages.ca/new-cars/british-columbia/surrey/2024-hyundai-tucson-11178469/,2024 Hyundai Tucson,"$51,699",Shimmering Silver
26,https://www.carpages.ca/new-cars/british-columbia/surrey/2024-hyundai-ioniq-11178466/,2024 Hyundai IONIQ,"$60,249",Serenity White
27,https://www.carpages.ca/new-cars/ontario/north-bay/2024-hyundai-tucson-hybrid-11178097/,2024 Hyundai Tucson Hybrid,"$42,649",Crystal White
28,https://www.carpages.ca/new-cars/manitoba/winnipeg/2024-hyundai-ioniq-5-11177785/,2024 Hyundai IONIQ 5,"$59,918",SHOOTING STAR
29,https://www.carpages.ca/new-cars/manitoba/winnipeg/2024-kia-sportage-11177746/,2024 Kia Sportage,"$43,364.82",Snow White Pearl
30,https://www.carpages.ca/used-cars/manitoba/winnipeg/2024-volvo-v60-11177734/,2024 Volvo V60,"$79,995",SILVER DAWN METALLIC
31,https://www.carpages.ca/used-cars/manitoba/winnipeg/2023-volvo-c40-recharge-11177731/,2023 Volvo C40 Recharge,"$55,987",Fjord Blue Metallic
32,https://www.carpages.ca/used-cars/ontario/toronto/2020-ford-fusion-11177587/,2020 Ford Fusion,"$18,999",White
33,https://www.carpages.ca/new-cars/ontario/kitchener/2024-ford-f-150-11177194/,2024 Ford F-150,"$79,649",White
34,https://www.carpages.ca/new-cars/ontario/kitchener/2024-ford-f-150-11177191/,2024 Ford F-150,"$80,369",Black
35,https://www.carpages.ca/used-cars/ontario/north-temiskaming-shores/2021-toyota-venza-11176945/,2021 Toyota Venza,"$43,619",Blizzard Pearl
36,https://www.carpages.ca/new-cars/ontario/ottawa/2024-toyota-rav4-11176909/,2024 Toyota RAV4,"$39,970.45",Black
37,https://www.carpages.ca/used-cars/ontario/toronto/2020-lexus-ux-11176795/,2020 Lexus UX,"$29,950",Black
38,https://www.carpages.ca/used-cars/ontario/brampton/2023-toyota-rav4-11176786/,2023 Toyota RAV4,"$57,900",White
39,https://www.carpages.ca/used-cars/ontario/brampton/2021-toyota-sienna-11176702/,2021 Toyota Sienna,"$50,900",Grey
40,https://www.carpages.ca/used-cars/ontario/guelph/2020-ram-1500-11176021/,2020 RAM 1500,"$37,998",Patriot Blue Pearl
41,https://www.carpages.ca/new-cars/saskatchewan/prince-albert/2024-toyota-corolla-cross-11175913/,2024 Toyota Corolla Cross,"$41,320",Wind Chill Pearl
42,https://www.carpages.ca/new-cars/saskatchewan/prince-albert/2024-toyota-sienna-11175898/,2024 Toyota Sienna,"$54,151",Blueprint
43,https://www.carpages.ca/new-cars/nova-scotia/port-hawkesbury/2024-toyota-rav4-11175724/,2024 Toyota RAV4,"$46,534",02PS WIND CHILL PEARL WITH BLA
44,https://www.carpages.ca/new-cars/nova-scotia/port-hawkesbury/2024-toyota-rav4-11175721/,2024 Toyota RAV4,"$43,619",01G3 MAGNETIC GREY METALLIC
45,https://www.carpages.ca/new-cars/nova-scotia/port-hawkesbury/2024-toyota-rav4-11175718/,2024 Toyota RAV4,"$41,579",08X8 BLUEPRINT
46,https://www.carpages.ca/used-cars/quebec/quebec/2022-tesla-model-y-11175685/,2022 Tesla Model Y,"$54,817",Gris foncé
47,https://www.carpages.ca/new-cars/ontario/forest/2024-ford-maverick-11175637/,2024 Ford MAVERICK,"$47,107",Cactus Grey
48,https://www.carpages.ca/used-cars/ontario/oakville/2022-jeep-wagoneer-11175616/,2022 Jeep Wagoneer,"$69,980",White
49,https://www.carpages.ca/new-cars/saskatchewan/moose-jaw/2024-ford-escape-11175499/,2024 Ford Escape,"$49,719",Rapid Red Metallic Tinted Clearcoat
50,https://www.carpages.ca/new-cars/british-columbia/north-vancouver/2024-hyundai-ioniq-11175298/,2024 Hyundai IONIQ,"$67,199",Abyss black
51,https://www.carpages.ca/used-cars/ontario/brantford/2018-bmw-i3-11175277/,2018 BMW i3,"$24,888",Capparis White w/BMW i Frozen Blue Accent
52,https://www.carpages.ca/used-cars/ontario/north-york/2022-porsche-taycan-11175016/,2022 Porsche Taycan,"$109,995",Volcano Grey Metallic
53,https://www.carpages.ca/new-cars/ontario/kitchener/2024-ford-f-150-11174920/,2024 Ford F-150,"$85,139",Black
54,https://www.carpages.ca/used-cars/ontario/north-york/2019-lexus-ux-11174089/,2019 Lexus UX,"$33,895",Silver
55,https://www.carpages.ca/used-cars/ontario/belmont/2014-infiniti-qx60-11174074/,2014 Infiniti QX60,"$6,900",Black
56,https://www.carpages.ca/new-cars/prince-edward-island/charlottetown/2024-kia-sportage-11174059/,2024 Kia Sportage,"$40,495",Grey
57,https://www.carpages.ca/new-cars/prince-edward-island/charlottetown/2024-kia-sportage-11174056/,2024 Kia Sportage,"$49,095",Black
58,https://www.carpages.ca/new-cars/prince-edward-island/charlottetown/2024-kia-sportage-11174053/,2024 Kia Sportage,"$49,095",White
59,https://www.carpages.ca/used-cars/ontario/st-thomas/2015-lexus-es-300-11174050/,2015 Lexus ES 300,"$23,999",Grey
60,https://www.carpages.ca/used-cars/saskatchewan/regina/2022-ram-1500-11173372/,2022 RAM 1500,"$68,900",Diamond Black Crystal Pearlcoat
61,https://www.carpages.ca/used-cars/british-columbia/new-westminster/2023-mitsubishi-outlander-11173336/,2023 Mitsubishi Outlander,"$49,800",Gray
62,https://www.carpages.ca/used-cars/british-columbia/coquitlam/2022-mitsubishi-outlander-11173297/,2022 Mitsubishi Outlander,"$36,995",White
63,https://www.carpages.ca/new-cars/prince-edward-island/charlottetown/2024-kia-sportage-11173216/,2024 Kia Sportage,"$40,495",Steel Grey
64,https://www.carpages.ca/new-cars/prince-edward-island/charlottetown/2024-kia-sportage-11173213/,2024 Kia Sportage,"$49,095",Fusion Black
65,https://www.carpages.ca/new-cars/prince-edward-island/charlottetown/2024-kia-sportage-11173210/,2024 Kia Sportage,"$49,095",Snow White Pearl
66,https://www.carpages.ca/used-cars/ontario/ottawa/2019-lexus-ux-11173126/,2019 Lexus UX,"$34,898",White
67,https://www.carpages.ca/new-cars/ontario/new-hamburg/2024-chrysler-pacifica-11173018/,2024 Chrysler Pacifica,"$70,803",White
68,https://www.carpages.ca/new-cars/ontario/mississauga/2024-ford-escape-11172526/,2024 Ford Escape,"$45,794",Agate Black Metallic
69,https://www.carpages.ca/new-cars/british-columbia/coquitlam/2024-mitsubishi-outlander-11172232/,2024 Mitsubishi Outlander,"$60,548",White
70,https://www.carpages.ca/used-cars/ontario/mississauga/2022-tesla-model-3-11172160/,2022 Tesla Model 3,"$38,995",Blue
71,https://www.carpages.ca/used-cars/british-columbia/surrey/2019-tesla-model-3-11172109/,2019 Tesla Model 3,"$35,989",White
72,https://www.carpages.ca/new-cars/british-columbia/fort-st-john/2024-ford-escape-11171914/,2024 Ford Escape,"$50,354",Rapid Red Metallic Tinted Clearcoat
73,https://www.carpages.ca/used-cars/ontario/kanata/2023-toyota-rav4-11171851/,2023 Toyota RAV4,"$44,995",Calvery Blue
74,https://www.carpages.ca/used-cars/ontario/ottawa/2014-toyota-camry-11171839/,2014 Toyota Camry,"$15,898",Grey
75,https://www.carpages.ca/new-cars/ontario/kanata/2024-chevrolet-blazer-11171758/,2024 Chevrolet Blazer,"$63,088",Radiant Red Tin
76,https://www.carpages.ca/new-cars/ontario/kanata/2024-chevrolet-blazer-11171755/,2024 Chevrolet Blazer,"$62,393",SUMMIT WHITE
77,https://www.carpages.ca/used-cars/ontario/north-bay/2018-chevrolet-volt-11171560/,2018 Chevrolet Volt,"$21,946",White
78,https://www.carpages.ca/used-cars/manitoba/winnipeg/2022-hyundai-ioniq-11171524/,2022 Hyundai IONIQ,"$31,590",Black
79,https://www.carpages.ca/used-cars/ontario/whitby/2024-toyota-tundra-11171497/,2024 Toyota Tundra,"$87,900",Midnight Black Metallic
80,https://www.carpages.ca/used-cars/british-columbia/abbotsford/2020-hyundai-ioniq-11171425/,2020 Hyundai IONIQ,"$27,995",
81,https://www.carpages.ca/used-cars/ontario/ottawa/2021-toyota-rav4-11171350/,2021 Toyota RAV4,"$42,994.50",Burgundy
82,https://www.carpages.ca/used-cars/ontario/stittsville/2020-ford-fusion-11170924/,2020 Ford Fusion,"$23,999",Black
83,https://www.carpages.ca/used-cars/saskatchewan/regina/2021-toyota-corolla-11170864/,2021 Toyota Corolla,"$33,900",
84,https://www.carpages.ca/new-cars/ontario/tilbury/2024-ford-escape-11170261/,2024 Ford Escape,"$54,944",Silver
85,https://www.carpages.ca/used-cars/british-columbia/abbotsford/2012-ford-f-150-11169997/,2012 Ford F-150,"$19,980",
86,https://www.carpages.ca/used-cars/british-columbia/surrey/2022-hyundai-tucson-hybrid-11169985/,2022 Hyundai Tucson Hybrid,"$38,000",Blue
87,https://www.carpages.ca/new-cars/british-columbia/port-moody/2024-honda-cr-v-11169886/,2024 Honda CR-V,"$51,775",Meteoroid Grey Metallic
88,https://www.carpages.ca/used-cars/ontario/kitchener/2018-toyota-camry-11180029/,2018 Toyota Camry,"$29,964",Red
89,https://www.carpages.ca/used-cars/ontario/kitchener/2019-toyota-rav4-11179996/,2019 Toyota RAV4,"$29,963",White
90,https://www.carpages.ca/new-cars/ontario/midland/2024-ford-escape-11179789/,2024 Ford Escape,"$49,531",STAR WHITE METALLIC TRI-COAT
91,https://www.carpages.ca/new-cars/british-columbia/port-moody/2024-honda-cr-v-11179780/,2024 Honda CR-V,"$49,075",Platinum White Pearl
92,https://www.carpages.ca/used-cars/ontario/burlington/2011-lexus-hs-250-11179774/,2011 Lexus HS 250,"$17,992",Black
93,https://www.carpages.ca/used-cars/ontario/guelph/2023-honda-cr-v-11179708/,2023 Honda CR-V,"$45,988",Grey
94,https://www.carpages.ca/used-cars/ontario/guelph/2020-ford-escape-11179693/,2020 Ford Escape,"$28,988",Blue
95,https://www.carpages.ca/used-cars/ontario/guelph/2021-toyota-rav4-11179675/,2021 Toyota RAV4,"$40,988",White
96,https://www.carpages.ca/used-cars/ontario/guelph/2021-ford-escape-11179651/,2021 Ford Escape,"$24,988",White
97,https://www.carpages.ca/new-cars/saskatchewan/prince-albert/2024-toyota-rav4-11179579/,2024 Toyota RAV4,"$54,754",Midnight Black Metallic
98,https://www.carpages.ca/new-cars/saskatchewan/prince-albert/2024-toyota-rav4-11179576/,2024 Toyota RAV4,"$50,169",Wind Chill Pearl w/Black Roof
99,https://www.carpages.ca/new-cars/new-brunswick/fredericton/2024-hyundai-tucson-hybrid-11179303/,2024 Hyundai Tucson Hybrid,"$42,901",ASH BLACK
100,https://www.carpages.ca/new-cars/new-brunswick/fredericton/2024-hyundai-tucson-hybrid-11179300/,2024 Hyundai Tucson Hybrid,"$42,901",Amazon Grey
101,https://www.carpages.ca/used-cars/alberta/camrose/2022-ford-f-150-11178937/,2022 Ford F-150,"$66,999",Agate Black
102,https://www.carpages.ca/new-cars/manitoba/winnipeg/2024-chevrolet-blazer-11178580/,2024 Chevrolet Blazer,"$62,194",Riptide Blue Metallic
103,https://www.carpages.ca/new-cars/british-columbia/surrey/2024-hyundai-kona-11178511/,2024 Hyundai KONA,"$53,399",MIRAGE GREEN
104,https://www.carpages.ca/new-cars/british-columbia/surrey/2024-hyundai-kona-11178508/,2024 Hyundai KONA,"$48,599",Abyss black
105,https://www.carpages.ca/new-cars/british-columbia/surrey/2024-hyundai-ioniq-11178502/,2024 Hyundai IONIQ,"$66,949",Serenity White
106,https://www.carpages.ca/new-cars/british-columbia/surrey/2024-hyundai-kona-11178496/,2024 Hyundai KONA,"$53,399",MIRAGE GREEN
107,https://www.carpages.ca/new-cars/british-columbia/surrey/2024-hyundai-kona-11178493/,2024 Hyundai KONA,"$53,399",MIRAGE GREEN
108,https://www.carpages.ca/new-cars/british-columbia/surrey/2024-hyundai-ioniq-5-11178490/,2024 Hyundai IONIQ 5,"$59,199",Abyss black
109,https://www.carpages.ca/new-cars/british-columbia/surrey/2024-hyundai-ioniq-5-11178484/,2024 Hyundai IONIQ 5,"$65,199",Cyber Grey
110,https://www.carpages.ca/new-cars/british-columbia/surrey/2024-hyundai-kona-11178478/,2024 Hyundai KONA,"$53,399",META BLUE
111,https://www.carpages.ca/new-cars/british-columbia/surrey/2024-hyundai-ioniq-5-11178472/,2024 Hyundai IONIQ 5,"$57,199",LUCID BLUE
112,https://www.carpages.ca/new-cars/british-columbia/surrey/2024-hyundai-tucson-11178469/,2024 Hyundai Tucson,"$51,699",Shimmering Silver
113,https://www.carpages.ca/new-cars/british-columbia/surrey/2024-hyundai-ioniq-11178466/,2024 Hyundai IONIQ,"$60,249",Serenity White
114,https://www.carpages.ca/new-cars/ontario/north-bay/2024-hyundai-tucson-hybrid-11178097/,2024 Hyundai Tucson Hybrid,"$42,649",Crystal White
115,https://www.carpages.ca/new-cars/manitoba/winnipeg/2024-hyundai-ioniq-5-11177785/,2024 Hyundai IONIQ 5,"$59,918",SHOOTING STAR
116,https://www.carpages.ca/new-cars/manitoba/winnipeg/2024-kia-sportage-11177746/,2024 Kia Sportage,"$43,364.82",Snow White Pearl
117,https://www.carpages.ca/used-cars/manitoba/winnipeg/2024-volvo-v60-11177734/,2024 Volvo V60,"$79,995",SILVER DAWN METALLIC
118,https://www.carpages.ca/used-cars/manitoba/winnipeg/2023-volvo-c40-recharge-11177731/,2023 Volvo C40 Recharge,"$55,987",Fjord Blue Metallic
119,https://www.carpages.ca/used-cars/ontario/toronto/2020-ford-fusion-11177587/,2020 Ford Fusion,"$18,999",White
120,https://www.carpages.ca/new-cars/ontario/kitchener/2024-ford-f-150-11177194/,2024 Ford F-150,"$79,649",White
121,https://www.carpages.ca/new-cars/ontario/kitchener/2024-ford-f-150-11177191/,2024 Ford F-150,"$80,369",Black
122,https://www.carpages.ca/used-cars/ontario/north-temiskaming-shores/2021-toyota-venza-11176945/,2021 Toyota Venza,"$43,619",Blizzard Pearl
123,https://www.carpages.ca/new-cars/ontario/ottawa/2024-toyota-rav4-11176909/,2024 Toyota RAV4,"$39,970.45",Black
124,https://www.carpages.ca/used-cars/ontario/toronto/2020-lexus-ux-11176795/,2020 Lexus UX,"$29,950",Black
125,https://www.carpages.ca/used-cars/ontario/brampton/2023-toyota-rav4-11176786/,2023 Toyota RAV4,"$57,900",White
126,https://www.carpages.ca/used-cars/ontario/brampton/2021-toyota-sienna-11176702/,2021 Toyota Sienna,"$50,900",Grey
127,https://www.carpages.ca/used-cars/ontario/guelph/2020-ram-1500-11176021/,2020 RAM 1500,"$37,998",Patriot Blue Pearl
128,https://www.carpages.ca/new-cars/saskatchewan/prince-albert/2024-toyota-corolla-cross-11175913/,2024 Toyota Corolla Cross,"$41,320",Wind Chill Pearl
129,https://www.carpages.ca/new-cars/saskatchewan/prince-albert/2024-toyota-sienna-11175898/,2024 Toyota Sienna,"$54,151",Blueprint
130,https://www.carpages.ca/new-cars/nova-scotia/port-hawkesbury/2024-toyota-rav4-11175724/,2024 Toyota RAV4,"$46,534",02PS WIND CHILL PEARL WITH BLA
131,https://www.carpages.ca/new-cars/nova-scotia/port-hawkesbury/2024-toyota-rav4-11175721/,2024 Toyota RAV4,"$43,619",01G3 MAGNETIC GREY METALLIC
132,https://www.carpages.ca/new-cars/nova-scotia/port-hawkesbury/2024-toyota-rav4-11175718/,2024 Toyota RAV4,"$41,579",08X8 BLUEPRINT
133,https://www.carpages.ca/used-cars/quebec/quebec/2022-tesla-model-y-11175685/,2022 Tesla Model Y,"$54,817",Gris foncé
134,https://www.carpages.ca/new-cars/ontario/forest/2024-ford-maverick-11175637/,2024 Ford MAVERICK,"$47,107",Cactus Grey
135,https://www.carpages.ca/used-cars/ontario/oakville/2022-jeep-wagoneer-11175616/,2022 Jeep Wagoneer,"$69,980",White
136,https://www.carpages.ca/new-cars/saskatchewan/moose-jaw/2024-ford-escape-11175499/,2024 Ford Escape,"$49,719",Rapid Red Metallic Tinted Clearcoat
137,https://www.carpages.ca/new-cars/british-columbia/north-vancouver/2024-hyundai-ioniq-11175298/,2024 Hyundai IONIQ,"$67,199",Abyss black
138,https://www.carpages.ca/used-cars/ontario/brantford/2018-bmw-i3-11175277/,2018 BMW i3,"$24,888",Capparis White w/BMW i Frozen Blue Accent
139,https://www.carpages.ca/used-cars/ontario/north-york/2022-porsche-taycan-11175016/,2022 Porsche Taycan,"$109,995",Volcano Grey Metallic
140,https://www.carpages.ca/new-cars/ontario/kitchener/2024-ford-f-150-11174920/,2024 Ford F-150,"$85,139",Black
141,https://www.carpages.ca/used-cars/ontario/north-york/2019-lexus-ux-11174089/,2019 Lexus UX,"$33,895",Silver
142,https://www.carpages.ca/used-cars/ontario/belmont/2014-infiniti-qx60-11174074/,2014 Infiniti QX60,"$6,900",Black
143,https://www.carpages.ca/new-cars/prince-edward-island/charlottetown/2024-kia-sportage-11174059/,2024 Kia Sportage,"$40,495",Grey
144,https://www.carpages.ca/new-cars/prince-edward-island/charlottetown/2024-kia-sportage-11174056/,2024 Kia Sportage,"$49,095",Black
145,https://www.carpages.ca/new-cars/prince-edward-island/charlottetown/2024-kia-sportage-11174053/,2024 Kia Sportage,"$49,095",White
146,https://www.carpages.ca/used-cars/ontario/st-thomas/2015-lexus-es-300-11174050/,2015 Lexus ES 300,"$23,999",Grey
147,https://www.carpages.ca/used-cars/saskatchewan/regina/2022-ram-1500-11173372/,2022 RAM 1500,"$68,900",Diamond Black Crystal Pearlcoat
148,https://www.carpages.ca/used-cars/british-columbia/new-westminster/2023-mitsubishi-outlander-11173336/,2023 Mitsubishi Outlander,"$49,800",Gray
149,https://www.carpages.ca/used-cars/british-columbia/coquitlam/2022-mitsubishi-outlander-11173297/,2022 Mitsubishi Outlander,"$36,995",White
150,https://www.carpages.ca/new-cars/prince-edward-island/charlottetown/2024-kia-sportage-11173216/,2024 Kia Sportage,"$40,495",Steel Grey
151,https://www.carpages.ca/new-cars/prince-edward-island/charlottetown/2024-kia-sportage-11173213/,2024 Kia Sportage,"$49,095",Fusion Black
152,https://www.carpages.ca/new-cars/prince-edward-island/charlottetown/2024-kia-sportage-11173210/,2024 Kia Sportage,"$49,095",Snow White Pearl
153,https://www.carpages.ca/used-cars/ontario/ottawa/2019-lexus-ux-11173126/,2019 Lexus UX,"$34,898",White
154,https://www.carpages.ca/new-cars/ontario/new-hamburg/2024-chrysler-pacifica-11173018/,2024 Chrysler Pacifica,"$70,803",White
155,https://www.carpages.ca/new-cars/ontario/mississauga/2024-ford-escape-11172526/,2024 Ford Escape,"$45,794",Agate Black Metallic
156,https://www.carpages.ca/new-cars/british-columbia/coquitlam/2024-mitsubishi-outlander-11172232/,2024 Mitsubishi Outlander,"$60,548",White
157,https://www.carpages.ca/used-cars/ontario/mississauga/2022-tesla-model-3-11172160/,2022 Tesla Model 3,"$38,995",Blue
158,https://www.carpages.ca/used-cars/british-columbia/surrey/2019-tesla-model-3-11172109/,2019 Tesla Model 3,"$35,989",White
159,https://www.carpages.ca/new-cars/british-columbia/fort-st-john/2024-ford-escape-11171914/,2024 Ford Escape,"$50,354",Rapid Red Metallic Tinted Clearcoat
160,https://www.carpages.ca/used-cars/ontario/kanata/2023-toyota-rav4-11171851/,2023 Toyota RAV4,"$44,995",Calvery Blue
161,https://www.carpages.ca/used-cars/ontario/ottawa/2014-toyota-camry-11171839/,2014 Toyota Camry,"$15,898",Grey
162,https://www.carpages.ca/new-cars/ontario/kanata/2024-chevrolet-blazer-11171758/,2024 Chevrolet Blazer,"$63,088",Radiant Red Tin
163,https://www.carpages.ca/new-cars/ontario/kanata/2024-chevrolet-blazer-11171755/,2024 Chevrolet Blazer,"$62,393",SUMMIT WHITE
164,https://www.carpages.ca/used-cars/ontario/north-bay/2018-chevrolet-volt-11171560/,2018 Chevrolet Volt,"$21,946",White
165,https://www.carpages.ca/used-cars/manitoba/winnipeg/2022-hyundai-ioniq-11171524/,2022 Hyundai IONIQ,"$31,590",Black
166,https://www.carpages.ca/used-cars/ontario/whitby/2024-toyota-tundra-11171497/,2024 Toyota Tundra,"$87,900",Midnight Black Metallic
167,https://www.carpages.ca/used-cars/british-columbia/abbotsford/2020-hyundai-ioniq-11171425/,2020 Hyundai IONIQ,"$27,995",
168,https://www.carpages.ca/used-cars/ontario/ottawa/2021-toyota-rav4-11171350/,2021 Toyota RAV4,"$42,994.50",Burgundy
169,https://www.carpages.ca/used-cars/ontario/stittsville/2020-ford-fusion-11170924/,2020 Ford Fusion,"$23,999",Black
170,https://www.carpages.ca/used-cars/saskatchewan/regina/2021-toyota-corolla-11170864/,2021 Toyota Corolla,"$33,900",
171,https://www.carpages.ca/new-cars/ontario/tilbury/2024-ford-escape-11170261/,2024 Ford Escape,"$54,944",Silver
172,https://www.carpages.ca/used-cars/british-columbia/abbotsford/2012-ford-f-150-11169997/,2012 Ford F-150,"$19,980",
173,https://www.carpages.ca/used-cars/british-columbia/surrey/2022-hyundai-tucson-hybrid-11169985/,2022 Hyundai Tucson Hybrid,"$38,000",Blue
174,https://www.carpages.ca/new-cars/british-columbia/port-moody/2024-honda-cr-v-11169886/,2024 Honda CR-V,"$51,775",Meteoroid Grey Metallic
175,https://www.carpages.ca/used-cars/ontario/kitchener/2018-toyota-camry-11180029/,2018 Toyota Camry,"$29,964",Red
176,https://www.carpages.ca/used-cars/ontario/kitchener/2019-toyota-rav4-11179996/,2019 Toyota RAV4,"$29,963",White
177,https://www.carpages.ca/new-cars/ontario/midland/2024-ford-escape-11179789/,2024 Ford Escape,"$49,531",STAR WHITE METALLIC TRI-COAT
178,https://www.carpages.ca/new-cars/british-columbia/port-moody/2024-honda-cr-v-11179780/,2024 Honda CR-V,"$49,075",Platinum White Pearl
179,https://www.carpages.ca/used-cars/ontario/burlington/2011-lexus-hs-250-11179774/,2011 Lexus HS 250,"$17,992",Black
180,https://www.carpages.ca/used-cars/ontario/guelph/2023-honda-cr-v-11179708/,2023 Honda CR-V,"$45,988",Grey
181,https://www.carpages.ca/used-cars/ontario/guelph/2020-ford-escape-11179693/,2020 Ford Escape,"$28,988",Blue
182,https://www.carpages.ca/used-cars/ontario/guelph/2021-toyota-rav4-11179675/,2021 Toyota RAV4,"$40,988",White
183,https://www.carpages.ca/used-cars/ontario/guelph/2021-ford-escape-11179651/,2021 Ford Escape,"$24,988",White
184,https://www.carpages.ca/new-cars/saskatchewan/prince-albert/2024-toyota-rav4-11179579/,2024 Toyota RAV4,"$54,754",Midnight Black Metallic
185,https://www.carpages.ca/new-cars/saskatchewan/prince-albert/2024-toyota-rav4-11179576/,2024 Toyota RAV4,"$50,169",Wind Chill Pearl w/Black Roof
186,https://www.carpages.ca/new-cars/new-brunswick/fredericton/2024-hyundai-tucson-hybrid-11179303/,2024 Hyundai Tucson Hybrid,"$42,901",ASH BLACK
187,https://www.carpages.ca/new-cars/new-brunswick/fredericton/2024-hyundai-tucson-hybrid-11179300/,2024 Hyundai Tucson Hybrid,"$42,901",Amazon Grey
188,https://www.carpages.ca/used-cars/alberta/camrose/2022-ford-f-150-11178937/,2022 Ford F-150,"$66,999",Agate Black
189,https://www.carpages.ca/new-cars/manitoba/winnipeg/2024-chevrolet-blazer-11178580/,2024 Chevrolet Blazer,"$62,194",Riptide Blue Metallic
190,https://www.carpages.ca/new-cars/british-columbia/surrey/2024-hyundai-kona-11178511/,2024 Hyundai KONA,"$53,399",MIRAGE GREEN
191,https://www.carpages.ca/new-cars/british-columbia/surrey/2024-hyundai-kona-11178508/,2024 Hyundai KONA,"$48,599",Abyss black
192,https://www.carpages.ca/new-cars/british-columbia/surrey/2024-hyundai-ioniq-11178502/,2024 Hyundai IONIQ,"$66,949",Serenity White
193,https://www.carpages.ca/new-cars/british-columbia/surrey/2024-hyundai-kona-11178496/,2024 Hyundai KONA,"$53,399",MIRAGE GREEN
194,https://www.carpages.ca/new-cars/british-columbia/surrey/2024-hyundai-kona-11178493/,2024 Hyundai KONA,"$53,399",MIRAGE GREEN
195,https://www.carpages.ca/new-cars/british-columbia/surrey/2024-hyundai-ioniq-5-11178490/,2024 Hyundai IONIQ 5,"$59,199",Abyss black
196,https://www.carpages.ca/new-cars/british-columbia/surrey/2024-hyundai-ioniq-5-11178484/,2024 Hyundai IONIQ 5,"$65,199",Cyber Grey
197,https://www.carpages.ca/new-cars/british-columbia/surrey/2024-hyundai-kona-11178478/,2024 Hyundai KONA,"$53,399",META BLUE
198,https://www.carpages.ca/new-cars/british-columbia/surrey/2024-hyundai-ioniq-5-11178472/,2024 Hyundai IONIQ 5,"$57,199",LUCID BLUE
